Region,Data item,2020-21,2021-22,2022-23,2023-24
Tasmania,Rubus berries - Farm gate value ($m),65.2,58.8,63.5,83.3
Australia,Strawberries - Production (t),"77,751","68,312","65,824","80,741"
Australia,Strawberries - Farm gate value ($m),417.2,416.9,429.2,507.5
New South Wales,Strawberries - Production (t),778,683,658,807
New South Wales,Strawberries - Farm gate value ($m),4.2,4.2,4.3,5.1
Victoria,Strawberries - Production (t),"27,601","24,251","23,368","28,663"
Victoria,Strawberries - Farm gate value ($m),148.1,148.0,152.3,180.2
Queensland,Strawberries - Production (t),"32,655","28,691","27,645","33,911"
Queensland,Strawberries - Farm gate value ($m),175.2,175.0,180.3,213.1
South Australia,Strawberries - Production (t),"5,443","4,782","4,608","5,652"
South Australia,Strawberries - Farm gate value ($m),29.2,29.2,30.0,35.5
Western Australia,Strawberries - Production (t),"8,164","7,173","6,912","8,478"
Western Australia,Strawberries - Farm gate value ($m),43.8,43.8,45.1,53.3
Tasmania,Strawberries - Production (t),"3,110","2,732","2,633","3,230"
Tasmania,Strawberries - Farm gate value ($m),16.7,16.7,17.2,20.3
Australia,Table grapes - Production (t),"198,389","195,925","232,962","186,632"
Australia,Table grapes - Farm gate value ($m),631.8,722.2,918.6,751.6
New South Wales,Table grapes - Production (t),"19,839","19,592","23,296","29,861"
New South Wales,Table grapes - Farm gate value ($m),63.2,72.2,91.9,120.3
Victoria,Table grapes - Production (t),"154,743","152,822","181,711","130,642"
Victoria,Table grapes - Farm gate value ($m),492.7,563.4,716.5,526.0
Queensland,Table grapes - Production (t),"9,919","9,796","11,648","14,931"
Queensland,Table grapes - Farm gate value ($m),31.6,36.1,45.9,60.1
South Australia,Table grapes - Production (t),"7,936","7,837","9,318",933
South Australia,Table grapes - Farm gate value ($m),25.3,28.9,36.7,3.8
Western Australia,Table grapes - Production (t),"4,980","4,918","5,847","9,332"
Western Australia,Table grapes - Farm gate value ($m),15.9,18.1,23.1,37.6
Northern Territory,Table grapes - Production (t),972,960,"1,142",933
Northern Territory,Table grapes - Farm gate value ($m),3.1,3.5,4.5,3.8
Australia,Watermelons - Production (t),"194,795","184,665","165,723","199,531"
Australia,Watermelons - Farm gate value ($m),155.6,167.0,158.3,184.1
New South Wales,Watermelons - Production (t),"50,647","48,012","53,031","51,878"
New South Wales,Watermelons - Farm gate value ($m),40.5,43.4,50.7,47.9
Victoria,Watermelons - Production (t),"3,896","3,694","9,943","3,991"
Victoria,Watermelons - Farm gate value ($m),3.1,3.3,9.5,3.7
Queensland,Watermelons - Production (t),"62,334","59,092","56,346","63,850"
Queensland,Watermelons - Farm gate value ($m),49.7,53.4,53.8,58.9
South Australia,Watermelons - Production (t),"1,948","1,847","4,972","1,995"
South Australia,Watermelons - Farm gate value ($m),1.6,1.7,4.7,1.8
Western Australia,Watermelons - Production (t),"27,271","25,853","23,201","27,934"
Western Australia,Watermelons - Farm gate value ($m),21.8,23.4,22.2,25.8
Northern Territory,Watermelons - Production (t),"48,699","46,167","18,230","49,883"
Northern Territory,Watermelons - Farm gate value ($m),38.9,41.8,17.4,46.0
